spanish,english,category
hola,hello,Basic Words
gracias,thank you,Basic Words
por favor,please,Normal Express
buenos días,good morning,Normal Express
buenas noches,good night,Normal Express
¿cómo estás?,how are you?,Sentences
muy bien,very well,Sentences
lo siento,I'm sorry,Normal Express
¿dónde está el baño?,where is the bathroom?,Places
yo quiero agua,I want water,Items
¿Estás segura?,Are you sure?,Sentences
¿En qué puedo ayudarte?,How can I help you?,Sentences
¿Qué hora es?,What time is it?,Sentences
Lo estoy intentando,I am trying,Sentences
¿Qué lenguas hablas?,What langauges do you speak?,Sentences
¿Cuántos años tenéis vosotras?,How old are you?,Sentences
¿Usted tiene hijos?,Do you have any children?,Sentences
"Disculpa, ¿tienes un/a ________?","Excuse me, do you have a __________?",Sentences
No tengo mi móvil. ¿Puedo usar el tuyo?,I don't have my mobile phone. Can I use yours?,Sentences
Eso espero / Espero que no,I hope so / I hope not ,Normal Express
¿Qué es esto?,What is this?,Normal Express
Claro,Of course,Basic Words
Lo dudo,I doubt it,Normal Express
Lo sabía,I knew it,Normal Express
Ni idea ,I have no idea,Normal Express
Apúrate,Hurry up,Normal Express
Con calma ,Slow down,Normal Express
Ya voy   / Ya me voy,I am coming    / I am leaving,Normal Express
Yo no soy muy ___________,I'm not very _______,Sentences
Nos vemos,See you….,Normal Express
Hace calor ,It's hot,Normal Express
Que te vaya bien,Have a good time,Sentences
¿En serio?,Are you serious?,Normal Express
¿Cuál?,Which one?,Normal Express
Por favor,Please,Normal Express
Lo siento,I am sorry,Normal Express
En eso estoy,I am on it,Normal Express
Voy por ti,I'll come pick you up,Normal Express
No te vayas,Don't leave,Normal Express
Ya casi termino,I'm almost finished,Normal Express
Tienes que probarlo (pro-bar-lo),You have to try this,Sentences
Hablo inglés y un poco de español,I speak English and a little Spanish,Sentences
Soy de Estados Unidos. Soy estadounidense,I'm from the United States. I'm American,Sentences
¿Y usted de dónde es?,And where are you from?,Sentences
La puerta es de madera,The door is made of wood,Home
¿De dónde sois?,Where are you all from?,Sentences
¿En qué trabajas?,What is your job?,Sentences
Trabajo en un/una __________,I work in an __________,Sentences
¿Qué sueles hacer los ________?,What so you do on________?? (day),Sentences
Mi barrio es fantástico porque hay muchas cosas.,My neighborhood is fantastic because it has many things.,Sentences
¿Cuál es tu número de teléfono?,What is your phone number?,Going out to eat
¡Me encantan las verduras!,I love vegetables!,Sentences
No tomo mucha ensalada,I don’t eat much salad,Going out to eat
¿Qué estás haciendo?,What are you doing?,Going out to eat
¿Y vosotros? ¿Cómo sois?,And you? What are you like? ,Sentences
¿Estás aburrida?,Are you bored?,Sentences
¿Te gusta salir de fiesta?,Do you like to go out?,Going out to eat
¿Estás libre?,Are you free?,Going out to eat
"Sí, estoy libre.",Yes I'm free?,Going out to eat
¿Qué quieres hacer?,What do you want to do?,Going out to eat
¿Quieres comer?,Do you want to eat?,Going out to eat
¿Quieres algo de tomar?,Do you want something to drink?,Going out to eat
Normalmente tomo café en mi casa,I usually have coffee in my house.,Home
¿Cuántas habitaciones hay en tu casa?,How many rooms are there in your house?,Home
Todas las noches vemos la tele en el sofá.,"Every night, we watch T.V on the sofa",Home
Normalmente me despierto a las siete en punto.,I usually wake up at 7'O clock,Home
Me lavo los dientes después de comer.,I brush my teeth after I eat,Home
Compro en el mercado,I shop in the market,Sentences
Tengo la lista de la compra en mi móvil.,I have a shopping list on my phone,Sentences
Hay una pescadería en el mercado.,There' a fishmonger in the marker,Directions 
"Antes de ir al supermercado, escribo la lista de la compra.","Before going to the supermarket, I write a shopping list.",Sentences
¿Dónde hay ____________?,Where is there a ______________,Directions 
En esta calle hay una tienda,There is a shop on this street.,Directions 
Hay una ____________ al final de la calle.,There is __________________ at the end of the street.,Directions 
La cafetería está cerca del hospital.,The café is close to the hospital.,Directions 
¿Sabes si hay _______________ por aquí cerca?,Do you know if there is a ________________ near here?,Directions 
¿Quieres ____________?,Do you want ___________?,Going out to eat
Tengo una reserva a nombre de ___________,I have a reservation under the name of _______________,Going out to eat
¿Podría traernos la carta?,Could you bring us the menu?,Going out to eat
Para mi_____________,For me ___________,Going out to eat
¿Qué pedimos de entrantes?,What are we having as an appetizer?,Going out to eat
¿Me traes la cuenta?,Can you bring me the bill?,Going out to eat
¿Quién es ese/a?,Who is that?,Normal Express
Yo no tengo dinero.,I don’t have any money.,Sentences
¡Usted es muy trabajadora!,You're very hardworking!,Sentences
¿Cómo estáis?,How are you all?,Normal Express
Lo dudo / Lo sabía,I doubt it   /  I knew it ,Normal Express
¿Estás bromeando?,Are you joking,Normal Express
Pero,but,Basic Words
El mío / La mía / Los míos / Las mías,Mine,Basic Words
Mis ,My (plural),Basic Words
El tuyo / La tuya / Los tuyos / Las tuyas,Yours,Basic Words
Tus ,Your(plural),Basic Words
El suyo / La suya / Los suyos / Las suyas,His/hers,Basic Words
Los nuestros / nuestras,Ours,Basic Words
Tener: tengo / tienes / tiene,Have,Basic Words
Porque,Because,Basic Words
También,Also,Basic Words
Nuevo,New,Basic Words
Siempre,Always,Basic Words
A menudo,Often,Basic Words
Nunca,Never,Basic Words
Este / Esta ,This (masculine / Fem),Basic Words
Estos / Estas,These,Basic Words
"Ese, esa, eso",That,Basic Words
Esos / Esas ,Those,Basic Words
Joven,Young,Normal Express
Bonita,Beautiful,Normal Express
Nosotros tenemos,We have,Basic Words
Hay / No hay,There is / isn't,Basic Words
Aquel / Aquella/ Aquello,That (over there…),Basic Words
Aquellos / Aquellas,Those (over there….),Basic Words
Cerca,Close,Directions 
Lejos,Far,Directions 
Enfrente,Front,Directions 
Al lado,Next to,Directions 
Entre,Between,Directions 
Aquí mismo,Right here,Directions 
Sigue recto,Straight ahead,Directions 
Gira a la derecha / Gira a la izquierda,Turn right / Turn Left,Directions 
Al final de la calle ,At the end of the street,Directions 
Alta / Alto,Tall ,Normal Express
Bajo / Baja,Short,Normal Express
Poco,Little,Normal Express
Mayor,Elderly,Normal Express
Sociable,Sociable ,Normal Express
Demasiado / Demasiada,Too much,Normal Express
Trabajador / Trabajadora (tra-ba-hadora) ,Hardworking,Normal Express
Bastante,Enough,Normal Express
Poquito,A little bit,Normal Express
La cama,The bed,Home
Ya casi llego,I'm almost there,Sentences
El día,The day,Calendar
La semana,This week,Calendar
El fin de semana,The weekend,Calendar
El lunes,Monday,Calendar
El martes,Tuesday,Calendar
El miércoles,Wednesday,Calendar
El Jueves (who-wa-ves),Thursday,Calendar
El viernes,Friday,Calendar
El sábado,Saturday,Calendar
El domingo,Sunday,Calendar
El mes,The month,Calendar
El año,The year,Calendar
Enero,January ,Calendar
Febrero,Feburaruy ,Calendar
Marzo,March,Calendar
Abril,April,Calendar
Mayo,May,Calendar
Junio,June,Calendar
Julio,July,Calendar
Agosto,August,Calendar
Septiembre(Sep-tie-embre),September,Calendar
Octubre(Oct-tu-bre),October,Calendar
Noviembre,November,Calendar
Diciembre,December,Calendar
Una vez al año,Once a year,Calendar
Dos veces a la semana,Twice a week,Calendar
